X,Y
157.66,33.36
157.66,33.36
157.66,33.36
157.66,33.36
44.66,19.54
44.66,19.54
44.66,19.54
44.66,19.54
1.17,18.13
1.17,18.13
1.17,18.13
1.17,18.13
-36.00,-23.70
-36.00,-23.70
-36.00,-23.70
-3.44,-0.36
-3.44,-0.36
-3.44,-0.36
-3.44,-0.36
18.34,-69.95
18.34,-69.95
18.34,-69.95
18.34,-69.95
-137.75,18.05
-137.75,18.05
-137.75,18.05
-137.75,18.05
151.74,20.80
151.74,20.80
151.74,20.80
151.74,20.80
23.66,8.41
23.66,8.41
23.66,8.41
149.50,10.66
158.20,41.69
158.20,41.69
158.20,41.69
44.57,-7.03
44.57,-7.03
44.57,-7.03
44.57,-7.03
16.63,-14.79
16.63,-14.79
16.63,-14.79
16.63,-14.79
-40.32,-23.79
-40.32,-23.79
-40.32,-23.79
-40.32,-23.79
-37.52,-12.45
-37.52,-12.45
-37.52,-12.45
-37.52,-12.45
-30.36,-18.40
-30.36,-18.40
-30.36,-18.40
-137.29,6.78
-137.29,6.78
-137.29,6.78
-137.29,6.78
-167.17,-6.65
-167.17,-6.65
-167.17,-6.65
-167.17,-6.65
49.15,6.43
49.15,6.43
49.15,6.43
49.15,6.43
151.70,33.09
151.70,33.09
151.70,33.09
151.70,33.09
53.33,13.79
53.33,13.79
53.33,13.79
39.45,24.58
28.89,28.14
28.89,28.14
28.89,28.14
-36.40,-27.49
-36.40,-27.49
-36.40,-27.49
-36.40,-27.49
-31.64,11.33
-31.64,11.33
-31.64,11.33
-31.64,11.33
2.35,-18.01
2.35,-18.01
2.35,-18.01
2.35,-18.01
-134.00,9.78
-134.00,9.78
-134.00,9.78
-134.00,9.78
-173.16,25.73
-173.16,25.73
-173.16,25.73
-163.98,65.36
115.00,23.56
115.00,23.56
115.00,23.56
169.12,51.41
169.12,51.41
169.12,51.41
169.12,51.41
47.65,6.43
47.65,6.43
47.65,6.43
47.65,6.43
43.70,-12.28
43.70,-12.28
43.70,-12.28
43.70,-12.28
-35.37,-14.70
-35.37,-14.70
-35.37,-14.70
-50.39,-16.81
-28.23,-23.42
-28.23,-23.42
-28.23,-23.42
-9.39,-41.06
-9.39,-41.06
-9.39,-41.06
-9.39,-41.06
-129.41,-10.03
-129.41,-10.03
-129.41,-10.03
-129.41,-10.03
-161.48,8.55
-161.48,8.55
-161.48,8.55
-161.48,8.55
36.65,2.61
36.65,2.61
36.65,2.61
117.77,3.87
112.55,-0.55
112.55,-0.55
112.55,-0.55
2.62,18.97
2.62,18.97
2.62,18.97
2.62,18.97
40.55,13.90
40.55,13.90
40.55,13.90
40.55,13.90
-32.07,-34.77
-32.07,-34.77
-32.07,-34.77
-32.07,-34.77
-33.75,-16.41
-33.75,-16.41
-33.75,-16.41
-33.75,-16.41
-14.27,-32.01
-14.27,-32.01
-14.27,-32.01
-14.27,-32.01
-140.61,21.71
-140.61,21.71
-140.61,21.71
150.60,25.34
150.60,25.34
150.60,25.34
150.60,25.34
6.84,33.00
6.84,33.00
6.84,33.00
6.84,33.00
128.90,22.68
128.90,22.68
128.90,22.68
128.90,22.68
41.85,19.33
41.85,19.33
41.85,19.33
41.85,19.33
-17.85,27.73
-17.85,27.73
